Instance Type,Instance @ Idle,Instance @ 100%,Total Embodied Emissions,Instance vCPU,Platform Total Number of vCPU
m6gd.xlarge,6.2,21.0,1533.12,4,64
m6i.12xlarge,109.5,389.4,1788.46,48,128
m6i.16xlarge,146.0,519.2,1788.46,64,128
m6i.24xlarge,219.1,778.7,1788.46,96,128
m6i.2xlarge,18.3,64.9,1788.46,8,128
m6i.32xlarge,292.1,1038.3,1788.46,128,128
m6i.4xlarge,36.5,129.8,1788.46,16,128
m6i.8xlarge,73.0,259.6,1788.46,32,128
m6i.large,4.6,16.2,1788.46,2,128
m6i.xlarge,9.1,32.4,1788.46,4,128
mac1.metal,26.9,98.4,1022.21,12,12
p2.16xlarge,786.5,5629.7,4493.82,64,72
p2.8xlarge,417.6,2888.0,4493.82,32,72
p2.xlarge,52.2,361.0,4493.82,4,72
p3.16xlarge,459.0,3038.8,3543.79,64,72
p3.2xlarge,57.4,379.8,3543.79,8,72
p3.8xlarge,229.5,1519.4,3543.79,32,72
p3dn.24xlarge,548.2,3786.1,3543.79,96,96
p4d.24xlarge,744.8,5245.0,4676.79,96,96
r3.2xlarge,26.9,90.4,1616.47,8,40
r3.2xlarge.elasticsearch,26.9,90.4,1616.47,8,40
r3.4xlarge,53.9,180.8,1616.47,16,40
r3.4xlarge.elasticsearch,53.9,180.8,1616.47,16,40
r3.8xlarge,107.8,361.6,1616.47,32,40
r3.8xlarge.elasticsearch,107.8,361.6,1616.47,32,40
r3.large,6.7,22.6,1616.47,2,40
r3.large.elasticsearch,6.7,22.6,1616.47,2,40
r3.xlarge,13.5,45.2,1616.47,4,40
r3.xlarge.elasticsearch,13.5,45.2,1616.47,4,40
r4.16xlarge,180.2,594.3,1755.15,64,72
r4.16xlarge.elasticsearch,180.2,594.3,1755.15,64,72
r4.2xlarge,22.5,74.3,1755.15,8,72
r4.2xlarge.elasticsearch,22.5,74.3,1755.15,8,72
r4.4xlarge,45.1,148.6,1755.15,16,72
r4.4xlarge.elasticsearch,45.1,148.6,1755.15,16,72
r4.8xlarge,90.1,297.1,1755.15,32,72
r4.8xlarge.elasticsearch,90.1,297.1,1755.15,32,72
r4.large,5.6,18.6,1755.15,2,72
r4.large.elasticsearch,5.6,18.6,1755.15,2,72
r4.xlarge,11.3,37.1,1755.15,4,72
r4.xlarge.elasticsearch,11.3,37.1,1755.15,4,72
r5.12xlarge,134.8,670.8,2143.79,48,96
r5.12xlarge.elasticsearch,134.8,670.8,2143.79,48,96
r5.16xlarge,179.7,894.4,2143.79,64,96
r5.24xlarge,269.5,1341.6,2143.79,96,96
r5.2xlarge,22.5,111.8,2143.79,8,96
r5.2xlarge.elasticsearch,22.5,111.8,2143.79,8,96
r5.4xlarge,44.9,223.6,2143.79,16,96
r5.4xlarge.elasticsearch,44.9,223.6,2143.79,16,96
r5.8xlarge,89.8,447.2,2143.79,32,96
r5.large,5.6,27.9,2143.79,2,96
r5.large.elasticsearch,5.6,27.9,2143.79,2,96
r5.metal,269.5,1341.6,2143.79,96,96
r5.xlarge,11.2,55.9,2143.79,4,96
r5.xlarge.elasticsearch,11.2,55.9,2143.79,4,96
r5a.12xlarge,140.0,474.1,2143.79,48,96
r5a.16xlarge,186.7,632.1,2143.79,64,96
r5a.24xlarge,280.1,948.2,2143.79,96,96
r5a.2xlarge,23.3,79.0,2143.79,8,96
r5a.4xlarge,46.7,158.0,2143.79,16,96
r5a.8xlarge,93.4,316.1,2143.79,32,96
r5a.large,5.8,19.8,2143.79,2,96
r5a.xlarge,11.7,39.5,2143.79,4,96
r5ad.12xlarge,140.0,474.1,2543.79,48,96
r5ad.16xlarge,186.7,632.1,2543.79,64,96
r5ad.24xlarge,280.1,948.2,2543.79,96,96
r5ad.2xlarge,23.3,79.0,2543.79,8,96
r5ad.4xlarge,46.7,158.0,2543.79,16,96
r5ad.8xlarge,93.4,316.1,2543.79,32,96
r5ad.large,5.8,19.8,2543.79,2,96
r5ad.xlarge,11.7,39.5,2543.79,4,96
r5b.12xlarge,129.1,519.6,2143.79,48,96
r5b.16xlarge,172.1,692.9,2143.79,64,96
r5b.24xlarge,258.1,1039.3,2143.79,96,96
r5b.2xlarge,21.5,86.6,2143.79,8,96
r5b.4xlarge,43.0,173.2,2143.79,16,96
r5b.8xlarge,86.0,346.4,2143.79,32,96
r5b.large,5.4,21.7,2143.79,2,96
r5b.metal,258.1,1039.3,2143.79,96,96
r5b.xlarge,10.8,43.3,2143.79,4,96
r5d.12xlarge,129.1,519.6,2543.79,48,96
r5d.16xlarge,172.1,692.9,2543.79,64,96
r5d.24xlarge,258.1,1039.3,2543.79,96,96
r5d.2xlarge,21.5,86.6,2543.79,8,96
r5d.4xlarge,43.0,173.2,2543.79,16,96
